1464	1474	582.1673
1466	1474	766.6232
1845	1857	1233.449
1846	1856	535.9929
1847	1857	2036.638
1848	1856	783.823
1849	1857	2752.447
2795	2807	507.6779
2797	2807	501.5704
2799	2807	650.9198
5206	5218	553.5674
6303	6311	603.5805
6305	6311	883.5764
9910	9922	1559.005
9911	9923	5884.856
9912	9924	6090.891
9913	9923	8323.257
9914	9924	2659.79
9915	9923	2752.447
9916	9924	908.3955
10978	10986	516.0707
10979	10987	587.2299
10980	10986	883.5764
10981	10987	883.5764
13377	13389	1037.253
13378	13390	995.7308
13379	13391	1456.636
13380	13392	1232.502
13381	13393	2407.153
13382	13394	2300.768
13383	13393	2183.574
13384	13394	2091.083
16665	16673	650.9198
17505	17515	607.5252
17506	17516	731.2843
17507	17515	908.3955
17688	17696	650.9198
18540	18552	1428.577
18541	18553	1465.74
18542	18552	2171.34
18543	18553	2218.936
18544	18552	3428.529
18545	18553	3428.529
18546	18552	883.5764
20367	20379	718.4918
20368	20380	2512.709
20369	20381	6750.528
20370	20382	2606.229
20371	20383	1116.621
20372	20384	1342.635
20373	20385	1237.247
20374	20386	2278.634
20375	20385	1220.255
20376	20386	2173.083
20485	20497	1031.767
20486	20496	635.9371
20487	20497	1430.8
20488	20496	980.8116
20734	20744	597.9317
20736	20744	908.3955
22400	22412	1804.798
22401	22411	571.3607
22402	22412	2541.412
22403	22411	766.6232
22404	22412	766.6232
22744	22756	531.7901
22745	22757	835.4928
22746	22756	712.187
22747	22757	1117.472
24595	24607	584.2709
24599	24607	516.0707
24601	24607	883.5764
26176	26186	833.0093
26177	26187	883.5764
26178	26186	783.823
26860	26872	614.1623
28731	28739	650.9198
28825	28833	783.823
32353	32363	501.5704
32355	32363	650.9198
33587	33599	1587.345
33589	33599	2173.083
36680	36692	543.7275
36681	36693	674.1187
36682	36692	731.2843
36781	36791	590.6316
36783	36791	783.823
37341	37353	637.3257
37342	37352	571.3607
37343	37353	883.5764
37344	37352	766.6232
38065	38077	564.4132
38066	38078	564.4132
38658	38670	1359.367
38659	38671	1602.351
38660	38670	1997.999
38661	38671	2391.637
38662	38670	2752.447
38663	38671	3428.529
38665	38671	883.5764
40156	40168	564.4132
40158	40168	778.6195
41280	41288	603.5805
41282	41288	883.5764
42556	42566	582.1673
42558	42566	766.6232
42652	42664	583.4285
42653	42663	523.1181
42654	42664	731.2843
42655	42663	766.6232
43733	43743	593.197
43735	43743	783.823
43940	43952	584.2709
43941	43953	567.6711
43942	43954	1295.757
43943	43955	1143.351
44127	44139	1209.068
44128	44140	1903.291
44129	44139	2779.551
44130	44140	2659.79
44131	44139	2752.447
44132	44140	783.823
46134	46146	569.7176
46135	46147	769.4611
46136	46148	1820.585
46137	46149	2890.859
46138	46150	790.8198
46139	46149	826.2209
46141	46149	766.6232
46301	46311	883.5764
46302	46310	783.823
46303	46311	766.6232
46474	46486	531.7901
46476	46486	712.187
47821	47833	1231.555
47823	47833	1823.471
47825	47833	2752.447
50823	50829	883.5764
50860	50872	2143.653
51552	51562	501.5704
51554	51562	650.9198
53610	53622	6096.139
53611	53623	1637.961
53612	53622	9391.791
53613	53623	2442.459
53614	53622	13713.99
53615	53623	3428.529
53616	53624	904.32
54720	54730	607.5252
54721	54729	516.0707
54722	54730	908.3955
54723	54729	883.5764
59679	59687	766.6232
59705	59717	1474.905
59706	59718	786.1477
59707	59717	2041.524
59708	59718	907.7149
59709	59717	2752.447
59710	59718	783.823
61097	61107	531.7901
61099	61107	783.823
70616	70626	512.4032
70618	70626	650.9198
71837	71849	1567.572
71838	71850	610.6128
71839	71851	2276.8
71840	71850	826.2209
71841	71851	826.2209
71842	71850	766.6232
72087	72097	524.9901
72088	72098	731.2843
72089	72097	766.6232
73986	73998	543.7275
73988	73998	731.2843
74110	74118	516.0707
74112	74118	883.5764
74120	74132	596.6364
74122	74132	593.197
74124	74132	783.823
76060	76072	531.4098
