# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	175	540	+							PU02_RS00005	366		partial;pseudo;old_locus_tag=PU02_0002
CDS	without_protein	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	175	540	+				integrase			PU02_RS00005	366		partial;pseudo
gene	tRNA	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	618	707	-							PU02_RS00010	90		old_locus_tag=PU02_1347
tRNA		GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	618	707	-				tRNA-Ser			PU02_RS00010	90		anticodon=GGA
gene	protein_coding	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	1042	3558	-					ptsP		PU02_RS00015	2517		old_locus_tag=PU02_0003
CDS	with_protein	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	1042	3558	-	WP_236824004.1	WP_236824004.1		phosphoenolpyruvate--protein phosphotransferase	ptsP		PU02_RS00015	2517	838	
gene	protein_coding	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	4870	5124	-					rpmA		PU02_RS00020	255		old_locus_tag=PU02_0005
CDS	with_protein	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	4870	5124	-	WP_053943544.1	WP_053943544.1		50S ribosomal protein L27	rpmA		PU02_RS00020	255	84	
gene	protein_coding	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	5137	5610	-					rplU		PU02_RS00025	474		old_locus_tag=PU02_0006
CDS	with_protein	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	5137	5610	-	WP_053943545.1	WP_053943545.1		50S ribosomal protein L21	rplU		PU02_RS00025	474	157	
gene	tRNA	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	5894	5983	+							PU02_RS00030	90		old_locus_tag=PU02_1348
tRNA		GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	5894	5983	+				tRNA-Ser			PU02_RS00030	90		anticodon=CGA
gene	protein_coding	GCF_001281405.1	Primary Assembly	chromosome		NZ_CP010401.1	6008	7666	-					pgi		PU02_RS00035	1659		old_locus_tag=PU02_0007
