# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	1	825	+							BANH1_RS00005	825		old_locus_tag=BAnh1_00010
CDS	with_protein	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	1	825	+	WP_015397404.1	WP_015397404.1		kinase/pyrophosphorylase			BANH1_RS00005	825	274	
gene	protein_coding	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	836	1432	+							BANH1_RS00010	597		old_locus_tag=BAnh1_00020
CDS	with_protein	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	836	1432	+	WP_041583132.1	WP_041583132.1		Maf family nucleotide pyrophosphatase			BANH1_RS00010	597	198	
gene	protein_coding	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	1425	1757	+							BANH1_RS00015	333		old_locus_tag=BAnh1_00030
CDS	with_protein	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	1425	1757	+	WP_015397406.1	WP_015397406.1		shikimate 5-dehydrogenase			BANH1_RS00015	333	110	
gene	protein_coding	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	1754	2356	+					coaE		BANH1_RS00020	603		old_locus_tag=BAnh1_00040
CDS	with_protein	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	1754	2356	+	WP_015397407.1	WP_015397407.1		dephospho-CoA kinase	coaE		BANH1_RS00020	603	200	
gene	protein_coding	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	2361	3065	+					dnaQ		BANH1_RS00025	705		old_locus_tag=BAnh1_00050
CDS	with_protein	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	2361	3065	+	WP_015397408.1	WP_015397408.1		DNA polymerase III subunit epsilon	dnaQ		BANH1_RS00025	705	234	
gene	protein_coding	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	3373	6282	+					polA		BANH1_RS00030	2910		old_locus_tag=BAnh1_00060
CDS	with_protein	GCF_000341355.1	Primary Assembly	chromosome		NC_020300.1	3373	6282	+	WP_015397409.1	WP_015397409.1		DNA polymerase I	polA		BANH1_RS00030	2910	969	
