# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	1	825	+							BTR_RS00095	825		old_locus_tag=BT0001,Btr_0001
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	1	825	+	WP_012230249.1	WP_012230249.1		kinase/pyrophosphorylase			BTR_RS00095	825	274	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	838	1434	+							BTR_RS00100	597		old_locus_tag=BT_0002,Btr_0002
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	838	1434	+	WP_012230251.1	WP_012230251.1		Maf family nucleotide pyrophosphatase			BTR_RS00100	597	198	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	1427	2299	+							BTR_RS00105	873		old_locus_tag=BT_0003,Btr_0003
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	1427	2299	+	WP_012230253.1	WP_012230253.1		shikimate dehydrogenase			BTR_RS00105	873	290	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	2296	2883	+					coaE		BTR_RS00110	588		old_locus_tag=BT_0004,Btr_0004
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	2296	2883	+	WP_012230255.1	WP_012230255.1		dephospho-CoA kinase	coaE		BTR_RS00110	588	195	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	2888	3595	+					dnaQ		BTR_RS00115	708		old_locus_tag=BT_0005,Btr_0005
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	2888	3595	+	WP_012230257.1	WP_012230257.1		DNA polymerase III subunit epsilon	dnaQ		BTR_RS00115	708	235	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	3919	6825	+					polA		BTR_RS00120	2907		old_locus_tag=BT_0007,Btr_0007
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	3919	6825	+	WP_012230261.1	WP_012230261.1		DNA polymerase I	polA		BTR_RS00120	2907	968	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	6832	7695	-							BTR_RS00125	864		old_locus_tag=BT_0008,Btr_0008
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	6832	7695	-	WP_038474396.1	WP_038474396.1		endonuclease/exonuclease/phosphatase family protein			BTR_RS00125	864	287	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	7809	8582	-							BTR_RS00130	774		old_locus_tag=BT_0009,Btr_0009
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	7809	8582	-	WP_012230263.1	WP_012230263.1		Bax inhibitor-1/YccA family protein			BTR_RS00130	774	257	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	9377	9880	-					lspA		BTR_RS00140	504		old_locus_tag=BT_0010,Btr_0010
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	9377	9880	-	WP_012230264.1	WP_012230264.1		signal peptidase II	lspA		BTR_RS00140	504	167	
